date(from_unixtime(l.repay_time)),count(l.id),count(le.id),到期总数,展期数
6/20,8549,4289,12838,4285
6/21,8268,4103,12371,4219
6/22,8205,4122,12327,4143
6/23,8266,4217,12483,4265
6/24,8610,4263,12873,4362
6/25,8448,4166,12614,4199
6/26,8486,4110,12596,4137
6/27,8509,4102,12611,4140
6/28,8386,3901,12287,3972
6/29,8061,3988,12049,4027
6/30,8509,4222,12731,4128
7/1,8305,4065,12370,4095
7/2,7850,3824,11674,3950
7/3,7930,3805,11735,3828
7/4,7795,3899,11694,3961
7/5,7888,3818,11706,3794
7/6,7705,3721,11426,3810
7/7,7690,3885,11575,3901
7/8,7950,4032,11982,4063
7/9,7609,3804,11413,3881
7/10,7833,3834,11667,3874
7/11,7776,3840,11616,3846
7/12,7942,3863,11805,3945
7/13,7611,3740,11351,3806
7/14,7473,3811,11284,3752
7/15,8018,3865,11883,3917
7/16,7787,3736,11523,3775
7/17,7259,3715,10974,3725
7/18,7278,3503,10781,3570
7/19,7224,3454,10678,3592
7/20,7129,3457,10586,3475
7/21,6661,3463,10124,3500
7/22,6908,3450,10358,3319
7/23,7127,3556,10683,3708
7/24,6782,3399,10181,3435
7/25,6979,3341,10320,3404
7/26,6904,3452,10356,3499
7/27,6709,3293,10002,3320
7/28,6468,3205,9673,3164
7/29,6861,3333,10194,3407
7/30,7338,3237,10575,3247
7/31,7121,3158,10279,3238
8/1,6867,3368,10235,3399
8/2,6680,3285,9965,3373
8/3,6157,3076,9233,3066
8/4,6035,3085,9120,3083
8/5,6121,3076,9197,3135
8/6,6163,3157,9320,3161
8/7,5798,3304,9102,3340
8/8,5957,3290,9247,3354
8/9,5815,3119,8934,3165
8/10,5658,3178,8836,3213
8/11,5223,3204,8427,3125
8/12,5698,3185,8883,3265
8/13,5701,3303,9004,3346
8/14,5586,3220,8806,3260
8/15,5718,3239,8957,3234
8/16,5706,3088,8794,3206
8/17,5415,3217,8632,3265
8/18,5467,3176,8643,3132
8/19,5808,3276,9084,3302
8/20,5981,3405,9386,3486
8/21,6020,3134,9154,3154
8/22,5910,3171,9081,3209
8/23,5834,3061,8895,3089
8/24,5859,2923,8782,2954
8/25,5974,3215,9189,3205
8/26,6155,3026,9181,3042
8/27,5798,2971,8769,3083
8/28,5701,2951,8652,2979
8/29,5420,2799,8219,2814
8/30,5336,2813,8149,2832
8/31,5347,2868,8215,2883
9/1,4955,2888,7843,2877
9/2,5157,2866,8023,2883
9/3,5058,2759,7817,2854
9/4,5092,2699,7791,2750
9/5,4961,2720,7681,2700
9/6,5150,2678,7828,2792
9/7,5002,2663,7665,2685
9/8,4761,2645,7406,2605
9/9,5175,2690,7865,2675
9/10,5536,2734,8270,2835
9/11,5244,2703,7947,2670
9/12,5303,2772,8075,2812
9/13,5082,2690,7772,2614
9/14,4751,2699,7450,2744
9/15,4828,2864,7692,2819
9/16,5099,2825,7924,3008
9/17,4638,2913,7551,2983
9/18,4658,2827,7485,2959
9/19,4501,2715,7216,2815
9/20,4896,2660,7556,
