date,total,<=1000,1000<a<=5000,5000<a<=10000,10000<a<=50000,>=50000,exceeding,u-1,u-2,u-3,u-4,u-5,e-1,e-2,e-3,e-4,e-5
6/20,12838 ,743 ,9779 ,1505 ,749 ,62 ,4285,681,6281,923,618,46,62,3498,582,131,16
6/21,12371 ,697 ,9423 ,1489 ,696 ,66 ,4219,633,6119,897,573,46,64,3304,592,123,20
6/22,12327 ,601 ,9569 ,1460 ,646 ,51 ,4143,554,6222,884,508,37,47,3347,576,138,14
6/23,12483 ,515 ,9827 ,1438 ,656 ,47 ,4265,455,6360,882,531,38,60,3467,556,125,9
6/24,12873 ,751 ,9785 ,1533 ,746 ,58 ,4362,690,6375,918,588,39,61,3410,615,158,19
6/25,12614 ,756 ,9551 ,1486 ,755 ,66 ,4199,693,6181,900,620,54,63,3370,586,135,12
6/26,12596 ,678 ,9737 ,1458 ,678 ,45 ,4137,622,6380,912,544,28,56,3357,546,134,17
6/27,12611 ,678 ,9717 ,1495 ,669 ,52 ,4140,614,6420,903,533,39,64,3297,592,136,13
6/28,12287 ,694 ,9496 ,1388 ,658 ,51 ,3972,662,6323,836,529,36,32,3173,552,129,15
6/29,12049 ,615 ,9428 ,1305 ,655 ,46 ,4027,567,6141,797,520,36,48,3287,508,135,10
6/30,12731 ,542 ,9741 ,1546 ,810 ,92 ,4128,487,6278,998,665,81,55,3463,548,145,11
7/1,12370 ,688 ,9497 ,1404 ,714 ,67 ,4095,638,6218,840,557,52,50,3279,564,157,15
7/2,11674 ,666 ,9006 ,1320 ,627 ,55 ,3950,612,5874,828,497,39,54,3132,492,130,16
7/3,11735 ,627 ,9074 ,1342 ,640 ,52 ,3828,577,5974,814,525,40,50,3100,528,115,12
7/4,11694 ,603 ,9020 ,1403 ,620 ,48 ,3961,552,5833,872,503,35,51,3187,531,117,13
7/5,11706 ,607 ,9036 ,1351 ,665 ,47 ,3794,556,5959,802,534,37,51,3077,549,131,10
7/6,11426 ,510 ,8869 ,1356 ,649 ,42 ,3810,469,5862,822,520,32,41,3007,534,129,10
7/7,11575 ,425 ,9058 ,1395 ,655 ,42 ,3901,375,5927,854,501,33,50,3131,541,154,9
7/8,11982 ,655 ,9198 ,1369 ,692 ,68 ,4063,604,5890,847,551,58,51,3308,522,141,10
7/9,11413 ,643 ,8751 ,1348 ,616 ,55 ,3881,598,5622,838,507,44,45,3129,510,109,11
7/10,11667 ,642 ,8891 ,1424 ,641 ,69 ,3874,586,5778,876,539,54,56,3113,548,102,15
7/11,11616 ,675 ,8877 ,1416 ,614 ,34 ,3846,627,5770,873,480,26,48,3107,543,134,8
7/12,11805 ,621 ,9072 ,1402 ,668 ,42 ,3945,570,5925,889,528,30,51,3147,513,140,12
7/13,11351 ,566 ,8766 ,1368 ,616 ,35 ,3806,515,5748,828,493,27,51,3018,540,123,8
7/14,11284 ,424 ,8857 ,1340 ,631 ,32 ,3752,385,5744,839,481,24,39,3113,501,150,8
7/15,11883 ,706 ,8843 ,1458 ,795 ,81 ,3917,655,5737,898,658,70,51,3106,560,137,11
7/16,11522 ,686 ,8701 ,1450 ,635 ,50 ,3775,635,5711,894,506,40,51,2990,556,129,10
7/17,10974 ,637 ,8324 ,1341 ,628 ,44 ,3725,592,5328,788,516,35,45,2996,553,112,9
7/18,10781 ,635 ,8157 ,1341 ,593 ,55 ,3570,577,5365,813,483,40,58,2792,528,110,15
7/19,10678 ,578 ,8077 ,1327 ,657 ,39 ,3592,529,5328,816,525,26,49,2749,511,132,13
7/20,10586 ,530 ,8037 ,1269 ,702 ,48 ,3475,486,5263,786,556,38,44,2774,483,146,10
7/21,10124 ,369 ,7799 ,1290 ,618 ,48 ,3500,324,5047,779,476,35,45,2752,511,142,13
7/22,10358 ,539 ,7748 ,1373 ,641 ,57 ,3319,497,5034,821,513,43,42,2714,552,128,14
7/23,10683 ,592 ,7958 ,1429 ,651 ,53 ,3708,547,5155,863,524,38,45,2803,566,127,15
7/24,10181 ,555 ,7581 ,1372 ,610 ,63 ,3435,526,4908,824,480,44,29,2673,548,130,19
7/25,10320 ,544 ,7763 ,1304 ,655 ,54 ,3404,497,5137,777,530,38,47,2626,527,125,16
7/26,10356 ,566 ,7729 ,1347 ,674 ,40 ,3499,524,4994,832,527,27,42,2735,515,147,13
7/27,10002 ,493 ,7624 ,1273 ,577 ,35 ,3320,453,4977,803,447,29,40,2647,470,130,6
7/28,9673 ,402 ,7321 ,1285 ,625 ,40 ,3164,360,4792,782,505,29,42,2529,503,120,11
7/29,10194 ,560 ,7536 ,1401 ,644 ,53 ,3407,514,4929,871,506,41,46,2607,530,138,12
7/30,10575 ,599 ,7835 ,1408 ,671 ,62 ,3247,548,5306,899,540,45,51,2529,509,131,17
7/31,10279 ,622 ,7579 ,1321 ,687 ,70 ,3238,582,5107,807,573,52,40,2472,514,114,18
8/1,10235 ,590 ,7632 ,1279 ,690 ,44 ,3399,554,4941,775,564,33,36,2691,504,126,11
8/2,9965 ,535 ,7449 ,1305 ,625 ,51 ,3373,487,4866,791,493,43,48,2583,514,132,8
8/3,9233 ,495 ,6909 ,1243 ,545 ,41 ,3066,454,4505,742,429,27,41,2404,501,116,14
8/4,9120 ,389 ,6890 ,1239 ,564 ,38 ,3083,352,4456,755,442,30,37,2434,484,122,8
8/5,9197 ,482 ,6776 ,1274 ,617 ,48 ,3135,433,4403,756,494,35,49,2373,518,123,13
8/6,9320 ,523 ,6805 ,1291 ,646 ,55 ,3161,486,4356,759,521,41,37,2449,532,125,14
8/7,9102 ,497 ,6673 ,1229 ,659 ,44 ,3340,459,4083,707,520,29,38,2590,522,139,15
8/8,9247 ,519 ,6772 ,1344 ,571 ,41 ,3354,481,4198,791,453,34,38,2574,553,118,7
8/9,8934 ,492 ,6534 ,1232 ,642 ,34 ,3165,449,4081,739,522,24,43,2453,493,120,10
8/10,8836 ,447 ,6498 ,1246 ,593 ,52 ,3213,395,3999,734,484,46,52,2499,512,109,6
8/11,8427 ,305 ,6349 ,1185 ,535 ,53 ,3125,274,3829,652,426,42,31,2520,533,109,11
8/12,8883 ,432 ,6502 ,1265 ,637 ,47 ,3265,384,4036,724,518,36,48,2466,541,119,11
8/13,9004 ,494 ,6596 ,1257 ,614 ,43 ,3346,459,4003,733,476,30,35,2593,524,138,13
8/14,8806 ,461 ,6478 ,1206 ,613 ,48 ,3260,423,3945,695,482,41,38,2533,511,131,7
8/15,8957 ,505 ,6477 ,1313 ,611 ,51 ,3234,458,3954,779,490,37,47,2523,534,121,14
8/16,8794 ,483 ,6355 ,1305 ,611 ,40 ,3206,447,3950,778,503,28,36,2405,527,108,12
8/17,8632 ,425 ,6352 ,1239 ,572 ,44 ,3265,392,3845,691,454,33,33,2507,548,118,11
8/18,8643 ,282 ,6492 ,1277 ,562 ,30 ,3132,250,3992,753,451,21,32,2500,524,111,9
8/19,9084 ,398 ,6663 ,1372 ,603 ,48 ,3302,362,4132,793,484,37,36,2531,579,119,11
8/20,9386 ,500 ,6829 ,1358 ,627 ,72 ,3486,454,4201,780,483,63,46,2628,578,144,9
8/21,9154 ,453 ,6754 ,1293 ,604 ,50 ,3154,430,4315,755,483,37,23,2439,538,121,13
8/22,9081 ,463 ,6680 ,1309 ,590 ,39 ,3209,417,4237,736,487,33,46,2443,573,103,6
8/23,8895 ,430 ,6504 ,1310 ,601 ,50 ,3089,392,4147,790,472,33,38,2357,520,129,17
8/24,8782 ,423 ,6460 ,1282 ,577 ,40 ,2954,380,4176,794,479,30,43,2284,488,98,10
8/25,9189 ,285 ,6884 ,1385 ,592 ,43 ,3205,259,4408,801,473,33,26,2476,584,119,10
8/26,9181 ,474 ,6681 ,1366 ,613 ,47 ,3042,433,4367,827,488,40,41,2314,539,125,7
8/27,8769 ,443 ,6402 ,1270 ,599 ,55 ,3083,409,4063,788,492,46,34,2339,482,107,9
8/28,8652 ,421 ,6303 ,1320 ,563 ,45 ,2979,386,4077,761,447,30,35,2226,559,116,15
8/29,8219 ,452 ,5921 ,1232 ,576 ,38 ,2814,415,3768,734,473,30,37,2153,498,103,8
8/30,8149 ,425 ,5799 ,1264 ,598 ,63 ,2832,402,3644,750,490,50,23,2155,514,108,13
8/31,8215 ,404 ,5834 ,1264 ,646 ,67 ,2883,366,3639,761,525,56,38,2195,503,121,11
9/1,7843 ,245 ,5763 ,1200 ,586 ,49 ,2877,214,3488,747,464,42,31,2275,453,122,7
9/2,8023 ,394 ,5798 ,1213 ,590 ,28 ,2883,347,3572,756,461,21,47,2226,457,129,7
9/3,7817 ,428 ,5546 ,1227 ,574 ,42 ,2854,393,3407,756,468,34,35,2139,471,106,8
9/4,7791 ,390 ,5607 ,1196 ,538 ,60 ,2750,353,3522,732,437,48,37,2085,464,101,12
9/5,7681 ,422 ,5423 ,1181 ,617 ,38 ,2700,375,3362,690,504,30,47,2061,491,113,8
9/6,7828 ,408 ,5598 ,1167 ,608 ,47 ,2792,377,3527,709,504,33,31,2071,458,104,14
9/7,7665 ,405 ,5567 ,1109 ,537 ,47 ,2685,369,3480,684,434,35,36,2087,425,103,12
9/8,7406 ,253 ,5431 ,1132 ,545 ,45 ,2605,221,3357,694,452,36,32,2074,438,93,9
9/9,7865 ,398 ,5673 ,1171 ,593 ,30 ,2675,368,3602,689,492,24,30,2071,482,101,6
9/10,8270 ,474 ,5898 ,1272 ,582 ,44 ,2835,433,3808,776,485,34,41,2090,496,97,10
9/11,7947 ,466 ,5762 ,1148 ,528 ,43 ,2670,430,3689,664,430,31,36,2073,484,98,12
9/12,8075 ,413 ,5872 ,1215 ,528 ,47 ,2812,382,3726,731,429,35,31,2146,484,99,12
9/13,7771 ,458 ,5561 ,1181 ,524 ,47 ,2614,425,3462,722,441,31,33,2099,459,83,16
9/14,7450 ,398 ,5362 ,1110 ,530 ,50 ,2744,369,3273,633,436,40,29,2089,477,94,10
9/15,7692 ,258 ,5553 ,1219 ,613 ,49 ,2819,223,3345,730,495,35,35,2208,489,118,14
9/16,7924 ,384 ,5670 ,1218 ,611 ,41 ,3008,352,3461,750,508,27,32,2209,468,103,14
9/17,7551 ,449 ,5261 ,1208 ,569 ,64 ,2983,411,3043,681,458,45,38,2218,527,111,19
9/18,7484 ,413 ,5241 ,1193 ,586 ,51 ,2959,378,3087,670,486,34,35,2154,523,100,17
9/19,7215 ,409 ,5055 ,1141 ,570 ,40 ,2815,378,2955,668,469,29,31,2100,473,101,11
9/20,7553 ,391 ,5359 ,1159 ,583 ,61 ,,353,3283,721,478,50,38,2076,438,105,11
